about_faculty,amendments,brand,configuration,course_name,delivery_mode,demo,demo_tour,discounted_price,doubt_solving,duration,highlights,img,kit_contents,mode,offer_type,other_details,please_note,price,ratings,recording,requirements,reviews,runs_on,study_materials,technical_support,total_views,url,validity,video_language
"CA Inter All Subjects Full Course Combo By CA Avinash Sancheti, Shubham Singhal, Bhanwar Borana, Vishal Bhattad, Ranjan Periwal And Shubham Keswani in 230 + 160 + 150 + 125 + 200 +120 + 150 Hrs. These lectures are beneficial for May 25 & Sep 25 attempts. Study materials will be provided with the same.",If Any Will Be uploaded On Youtube,Zeroinfy Combo Lectures,"Live At Home,:,Laptop,with Windows 8.1 or 10,11 or above. (Minimum 10MBPS Speed with Wifi Connection) or,Android,version 7.0 or higher,Google Drive & Pen Drive:,Windows 8, 8.1, 10 11,or any other higher version,Mobile :,Android version 7.0 or Above | 3 GB Ram or Above | 32 GB Internal Memory or Above |,Not Supported On Motorola,Devices","CA Inter All Subjects Full Course Combo 1 By CA Avinash Sancheti, Shubham Singhal, Bhanwar Borana, Vishal Bhattad, Ranjan Periwal , Mayank Saraf And Shubham Keswani","Live Batch with Hard Copy,Google Drive with Hard Copy",,,"Rs. 59,400.00","E-Mail, WhatsApp","Adv acct : 230 Hours (Approx 120 lectures),Law : 160 Hrs (65 Lectures),DT : 150 Hrs (55 Lectures),IDT : 125 Hrs (45 Lectures),Audit : 120 hours (Approx 50-60 lectures),FMSM : 150 Hours (85 lectures)",,//zeroinfy.in/cdn/shop/files/CAInterAllSubjectsFullCourseCombo1ByCAAvinashSancheti_ShubhamSinghal_BhanwarBorana_VishalBhattad_RanjanPeriwalAndShubhamKeswani_1024x1024.jpg?v=1722953752,Video Lectures + Study Materials (All Relevant Hard Copy Books),Google Drive,Best Combo Discount Applied Here,,,"Rs. 50,999.00",0.00,Latest,,0,Laptop / Mobile / Desktop,English,"Mobile - 9718972218,Email at support@zeroinfy.in","Adv Acct : 1.8 times on the duration with unlimited clicks,1.5 times on duration of every lecture (3 hrs lecture can be watched for 4.5 Hrs) (Views Can Not Be Increased),Audit : 1.7 times on duration every lecture with unlimited clicks",https://zeroinfy.in/collections/all/products/ca-inter-all-subjects-full-course-combo-1-by-navin-vsmart-ranjan-periwal-bb-virtual,"Adv acct : 9 Months,Law and Taxation : Unlimited Validity with Free Extension,Audit, Costing, FMSM ; 12 months from the date of activation",Hindi-English Mix
CA Final FR and AFM Regular Combo By CA Parveen Jindal and CA Aaditya Jain in 400 + 300 Hrs. These lectures are beneficial for May 25 and Nov 25 attempts. Study materials will be provided with the same.,If Any Will Be Uploaded On Youtube,Zeroinfy Combo Lectures,"Laptop,- Windows versions 8, 8.1, and Win 10. WINDOW 11 | Minimum Ram Is Required- 4GB,Mobile -,Android 7.0 & Above with Minimum 4 GB RAM | Motorola Devices Not Supported,DO NOT SUPPORT,Windows XP, Windows Vista, Windows 7 Starter, Windows 7 Home Basic, Windows 7 N Edition, Windows 7 KN Edition, APPLE MAC BOOK, Motorola Devices. PROJECTOR AND DISPLAY SHOULD NOT BE MORE THEN 21 INCHES IN SIZE.",CA Final FR and AFM Regular Combo By CA Parveen Jindal and CA Aaditya Jain,Google Drive with Hard Copy,,,"Rs. 29,100.00",WhatsApp,"AFM - 300 Hours (111 lectures),FR - 400 Hours (200 lectures - Approx 2 Hour Each)",,//zeroinfy.in/cdn/shop/files/CAFinalFRandAFMRegularComboByCAParveenJindalandCAAadityaJain_1024x1024.jpg?v=1724335206,"Video Lectures + Study Material (Hard Copy Books),FR,Study Kit Contains -,7 Black And White Hard Copy Books,(The Material Is As Per Nov 2024 & Onward Attempts. Material Is Fully Fresh & Updated),AFM,Study Kit Contains - 7 Volumes of Hard Copy Books + 3 Virtual Books",Google Drive,,,,"Rs. 22,999.00",0.00,Latest,"Windows 7 Ultimate, 8, 10 | 4GB Ram (Mandatory) | i3/i5/i7 | Sharable Memory Above 500MB | Graphics card Minimum 1GB (Mandatory),Internet Connection Required At The Time Of Activating The Each Class.",0,"Laptop (Once you have installed the Pen Drive Setup your laptop, system cannot be changed due to any reason)",,Email at support@zeroinfy.in,"1.5 Times on the duration,Views Extension Not Available,Upto 2x FF",https://zeroinfy.in/collections/all/products/ca-final-fr-and-afm-by-ca-parveen-jindal-and-ca-aaditya-jain,"FR -1000 Days from the date of Activation,AFM -12 months from the date of Activation,Validity Extension Available On Chargeable Basis",Hindi-English Mix
,,Yashvant Mangal Classes,"Laptop,: Windows 10 & Above | Core 2 Duo 1.5 GHz and above, Celeron Dual Core 1.5 GHZ and above, Intel Atom Quad Core 1.5 GHZ and above | 1.5 GB free memory,Mobile,: Android 7.0 & Above | 2 GB RAM & Above |,Motorola,Handsets,Not Supported",CMA Final Indirect Tax (IDT) Fast Track By CA Yashvant Mangal,"Google Drive without Hard Copy,Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/playlist?list=PL7x7lxx63odhMpRD7hMy5yGBShf0xp5yd,,"Rs. 6,150.00",Email at ymc.query@gmail.com,"75 Hours (Including Questions and Discussion Lectures),(Approx 25-30 lectures)",,//zeroinfy.in/cdn/shop/files/CMAFinalIndirectTax_IDT_FastTrackByCAYashvantMangal_1024x1024.jpg?v=1736170173,"Video Lectures + Study materials,Study Kit Contains -,2 Volumes Questionnaire & MCQ book, Colorful Summary Book & Colorful RamBan Chartbook (All Content & Questions as per Applicable ICMAI Syllabus",,,,,"Rs. 5,650.00",0.00,Latest,,0,"Laptop / Mobile,You will get access on 1 device (either Windows or Android) | Switching devices is not allowed in any case & Extension will not be provided in any case",English,"Mobile-7737976730,Email at support@zeroinfy.in",1.5 Times,https://zeroinfy.in/collections/all/products/cma-final-indirect-tax-idt-fast-track-by-ca-yashvant-mangal,"6/Unlimiited months,from the date of activation",Hindi-English Mix
CMA Inter 2022 Syllabus DT and Law Full Course Combo By CA Bhanwar Borana and CA Shivangi Agrawal in 150 + 165 Hours. These Lectures are beneficial for June 25 and Dec 25 attempts. Study Materials will be provided with the same.,,BB Virtuals,,CMA Inter 2022 Syllabus DT and Law Full Course Combo By CA Bhanwar Borana and CA Shivangi Agrawal,"Mobile App with Hard Copy,Google Drive with Hard Copy",,,"Rs. 15,000.00",DT: WhatsApp | IDT: QnA App (Provided with Course Purchase),"DT,: 160 hours (Approx 61 lectures),Law,: 150 Hours Approx (192 Lectures Approx)",,//zeroinfy.in/cdn/shop/files/CMAInter2022SyllabusDTandLawFullCourseComboByCABhanwarBoranaandCAShivangiAgrawal_1024x1024.jpg?v=1735802355,"Video Lectures + Study Materials (,DT:,Compact Theory Book,,,Compact Q&A Book |,Law:,6 Books – 2 Detailed (B&W), 1 Chart Book (Coloured), 2 Question Bank (Black & White), 1 Test Series (Black & White))",Google Drive | Mobile App,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 14,000.00",0.00,DT: Nov 2024 | Law: Jan 2025,"Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.",0,Laptop / Mobile,English,Email at support@zeroinfy.in,"DT - 1.5 times on duration every lecture with unlimited clicks (3 hrs lecture can be watched for 4.5 Hrs),Law - Unlimited",https://zeroinfy.in/collections/all/products/cma-inter-2022-syllabus-dt-law-by-bhanwar-borana-and-shivangi-agrawal,"DT - 12 months from the date of activation,Law - 9 months from the date of activation",Hindi-English Mix
"CMA Final Audit, CFR and SPM BV 2022 Syllabus Full Course By CA Ranjay Mishra in 70+240+90 Hours. These Lectures are beneficial for June 25 and Dec 25 Attempts. Study Material will be provided with the same.",,CA Ranjay Mishra,,"CMA Final Audit, CFR and SPM BV 2022 Syllabus Full Course By CA Ranjay Mishra","Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/@ranjayCA2010/videos,,,Whatsapp,"70+240+90 Hours (100% coverage of study material, MQP, and past papers)",,//zeroinfy.in/cdn/shop/files/CMAFinalAudit_CFRandSPMBV2022SyllabusFullCourseByCARanjayMishra_1024x1024.jpg?v=1684937704,"Video Lectures + Study Materials (Books in hard copy (1+1+1 Volume). CFR (Approx. 600 pages covering 500 MCQs and 1000 + practical questions)) + For revision purposes, audio of each topic will be provided + Virtual Handwritten notes will be provided",Google Drive | Pen Drive,"June 25,Dec 25",,,"Rs. 18,500.00",0.00,,,0,Desktop / Laptop / Mobile,,"Mobile -,97180 57916,Email at support@zeroinfy.in",1.5 / 1.8 / 2 times Playback Time for every video with unlimited clicks,https://zeroinfy.in/collections/all/products/cma-final-audit-cfr-and-spm-bv-2022-syllabus-by-ca-ranjay-mishra,6 / 9 / 12 / 15 months from the date of activation,Hindi-English Mix
,,CA P S Beniwal,,CA Inter Advanced Accounts Full Course By CA P S Beniwal,"Google Drive without Hard Copy,Mobile App without Hard Copy,Pen Drive without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/@PSBeniwalClasses/videos,,"Rs. 13,667.00",WhatsApp / Call / Telegram,"250 Hours,(Approx 128 lectures)",,//zeroinfy.in/cdn/shop/files/CAInterNewSchemeAdvancedAccountsFullCourseByCAPSBeniwal_1024x1024.jpg?v=1738041944,"Video Lectures + Study Materials,Study Kit Contains - (,Hard Copy / Digital Books,) +,14 Mock Tests with evaluation",,"May-25,Sep-25",,,"Rs. 7,300.00",0.00,Latest,"Laptop,: Windows 8, 8.1 & 10 | RAM: 2 GB & Above,Mobile:,Android Version 6.0 or above, Minimum Ram 3 GB, Internal Storage 32 GB (,Not Compatible,with,Motorola,Devices)",0,,English,"Mobile - 9990301165,Email us at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/ca-inter-new-scheme-advanced-accounts-full-course-by-ca-p-s-beniwal,"6 / 12 Months,from the date of activation",Hindi-English Mix
"CA Inter Advance Accounting Full Course By MEPL Classes CA Aditya Daima. These lectures are beneficial for May 25, Sep 25 and Jan 26 attempts. Study materials will be provided with the same.",,MEPL Classes,,CA Inter Advance Accounting Full Course By MEPL Classes CA Aditya Daima,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/@mohitagarwalsir,,"Rs. 6,300.00",Mail: d2hclasses@mohitsir.com,130 Hrs (85 lectures),,//zeroinfy.in/cdn/shop/files/CAInterAdvanceAccountingFullCourseByMEPLClassesCAAdityaDaima_1024x1024.jpg?v=1741428495,Video Lectures + Study Materials (2 Books),"Google Drive,Mobile App","6 Months,9 Months,12 Months",,"There Is No Transfer Possible To Another Device Due To Any Reason,Computer /Desktop Monitor size should not be more than 19” inches,IOS not supported for Google Drive / Pen Drive,Use ofÂ EarphoneÂ is recommended for better concentration and audio qualityÂ","Rs. 5,040.00",0.00,Latest,"Laptop / Desktop -,Windows 8 & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,Mobile -Â,Classes will play only in Android & IOS |Â Classes Are Not In Downloadable Format. It Will Be In Streaming Mode, Just Like YouTube |Â Internet Availability Will Be Compulsory For Streaming The Classes |Â PENDRIVE CLASS WILL NOT WORK IN MOBILE APP |Â Model of the android mobile must be of YEAR - 2019 or above, otherwise classes won’t support. Minimum 3GB RAM required |Â Ipad / Iphone requires IOS 13.0 or later version to run the MOBILE APP Classes",0,Laptop / Desktop / MobileÂ,English,,,https://zeroinfy.in/collections/all/products/ca-inter-new-scheme-advance-accounting-full-course-by-mepl-classes-ca-ankur-agarwal,6 / 9 / 12 months date of installation or exam term whichever is earlier (Further Extension Is Not Possible),Hindi-Engish Mix
"CA Final FR, Audit and AFM Regular In Depth Study Module Batch By CA Jai Chawla, CA Ravi Taori and CA Pavan Karrmele in 250 + 120 + 240 Hrs. These lectures are beneficial for May 25 and Nov 25 attempts. Study materials will be provided with the same.",Will Be Uploaded On YouTube If Any,Vsmart Academy,"Laptop:,Windows,8, 8.1 & 10 |,Intel Core 3, 2.0 GHz |,4GB RAM | Minimum 20% Free space on C Drive,Mobile / Tablet,:,Andriod version 6 & above (Motorola Mobile/Tablet or Rooted,Not,Supported)","CA Final FR, Audit and AFM Regular In Depth Study Module Batch Combo By CA Jai Chawla, CA Ravi Taori and CA Pavan Karrmele","Google Drive with Hard Copy,Pen Drive with Hard Copy",,,"Rs. 32,999.00","WhatsApp, e-mail (You will receive the contact details in the e-mail)","AFM -,240 Hrs (80 Lectures Approx) (100% syllabus coverage as per Institute module),FR -,150 Hrs. Approx. for Covering Complete ICAI Study Module (+) Approx. 100 Hrs. of Extra Questions through FR QR Code Question Bank Compiler,Audit -,Approx. 100 hrs. (35 Lectures) + 20 hrs 250+ Que of ICAI SM discussion",,//zeroinfy.in/cdn/shop/files/CAFinalFR_AuditandAFMRegularInDepthStudyModuleBatchComboByCAJaiChawla_CARaviTaoriandCAPavanKarrmele_74df56e4-c861-44b8-b2eb-a4e118adbcb6_1024x1024.jpg?v=1725088834,Video Lectures + Study Materials (Hard Copy of Books),Google Drive | Pen Drive,Flat Rs.9000/- Discount Applied Here,,,"Rs. 23,999.00",0.00,"FR - July 2023,AFM - June 2024,Audit - Sep 2024",,0,Laptop / Mobile / Tablet,,"Mobile-7796878787, 7241111723,Email at support@zeroinfy.in","AFM -,2 times on duration with unlimited clicks,FR -,2 times on duration with unlimited clicks,Audit -,1.5 times on duration with unlimited clicks,Extension Of Views Not Available,Upto 2x FF Available",https://zeroinfy.in/collections/all/products/ca-final-new-scheme-fr-audit-and-afm-vsmart-academy,"AFM -,24 Months from the date of activation,FR -,12 Months from the date of activation,Audit -,Unlimited,Validity Extension Available On A Chargeable Basis",Hindi-English Mix
"CA Inter Advanced Accounting Full Course By CA Abhishek Zaware in 200 Hrs. These Lectures are beneficial for May 25, Sep 25 and Jan 26 attempts. Study Materials will be provided with the same.",,EKATVAM,"Desktop / Laptop:,Windows,8, 8.1 & 10 |,Pentium Dual core 2.0 GHz and above,|,2,GB RAM | Minimum 20% Free space on C Drive,Mobile / Tablet,:,Android Operating system Version 14.0 minimum or above | Processor : minimum 1.0 GHZ | RAM: 1GB minimum",CA Inter Advanced Accounts Full Course By CA Abhishek Zaware,"Live Batch With Hard Copy,Google Drive With Hard Copy,Pen Drive With Hard Copy",https://www.youtube.com/watch?v=EkI0HJr8ayo,,,WhatsApp / Telegram / Email,200 Hrs (100 lectures),,//zeroinfy.in/cdn/shop/files/CAInterNewSchemeAdvancedAccountsFullCourseByCAAbhishekZaware_1024x1024.jpg?v=1689831582,"Video Lecture + Study Materials (2 Concept Books, 1 Class Book, 1 Summary Book, 1 QB)",Google Drive | Pen Drive,"1 Time / Unlimited,1.5 Times / Unlimited,2 Times / Unlimited,1.3 Times / 12 Months",,,"Rs. 13,000.00",0.00,Aug 2024 / March 2025 (1:30 PM to 5:30 PM),,0,Desktop / Laptop / Mobile / Tablet,English,Email at support@zeroinfy.in,1.3 / 1.5 times on duration for every lecture with unlimited clicks,https://zeroinfy.in/collections/all/products/ca-inter-new-scheme-advanced-accounts-by-ca-abhishek-zaware,12 / Unlimited Months From the date of Activation,Hindi-English Mix
,,Zeroinfy Combo Lectures,,CA Final AFM and Audit Full Course Combo By CA Pankaj Garg and Prof Archana Khetan,Google Drive with Hard Copy,https://www.youtube.com/@aldineho/videos,,"Rs. 22,900.00",Mail,"AFM:,195 Hrs (85 lectures),Audit:,150 hours approx. (Approx. 50 Lectures of 3 Hr. each)",,//zeroinfy.in/cdn/shop/files/CAFinalNewSchemeAFMandAuditFullCourseComboByCAPankajGargandProfArchanaKhetan_1024x1024.jpg?v=1690010875,Video Lectures + Study Materials (Hard Copy Books),Google Drive,"AFM July 23 Recording - 1.5 Times / 6 Months | Audit Feb 24 Recording - 1.5 Times / 6 Months,AFM July 23 Recording - 1.8 Times / 24 Months | Audit Feb 24 Recording - 1.5 Times / 6 Months",,,"Rs. 18,320.00",0.00,"AFM - July 2023,Audit - Feb 2024","Laptop: Windows 7 Premium / Ultimate Or Higher Version,Mobile: Android Version 6.0 & above | IOS,Desktop / Laptop: Windows 8, Windows 8.1, Windows 10 | Processor : Pentium Dual core 2.0 GHz and above | RAM : 2 GB,Mobile: Android Version 6.0 & above | IOS",0,,English,"Mobile-7206941195 (Audit),Mobile-9137967305 (AFM),Email us at support@zeroinfy.in","AFM:,1.5 /,1.8 times on duration every lecture (2 Times for Live Batch),Audit:,1.5 views on Duration with unlimited clicks (2 Times for Live Batch)",https://zeroinfy.in/collections/all/products/ca-final-new-scheme-afm-and-audit-by-ca-pankaj-garg-and-archana-khetan,"AFM:,6 / 24 Months from the date of activation,Audit:,6 months from the date of activation",Hindi-English Mix
CA Inter GST Full Course By CA Rajkumar in 80 Hrs. These Lectures are beneficial for Jan 25 and May 25 attempts. Study Materials will be provided with the same.,,EKATVAM,"Desktop / Laptop:,Windows,8, 8.1 & 10 |,Pentium Dual core 2.0 GHz and above,|,2,GB RAM | Minimum 20% Free space on C Drive,Mobile / Tablet,:,Android Operating system Version 14.0 minimum or above | Processor : minimum 1.0 GHZ | RAM: 1GB minimum",CA Inter GST Full Course By CA Rajkumar (Feb 24 Batch),"Google Drive With Hard Copy,Pen Drive With Hard Copy",https://www.youtube.com/c/CARishabhJainRJ/videos,,,WhatsApp / Telegram / Email,80 Hrs (40 lectures),,//zeroinfy.in/cdn/shop/files/CAInterGSTFullCourseByCARajkumar_Feb24Batch_1024x1024.jpg?v=1724162974,Video Lecture + Study Materials (Hard Copy Notes),Google Drive | Pen Drive,1.5 Times,,,"Rs. 6,250.00",0.00,Feb 2024,,0,Desktop / Laptop / Mobile / Tablet,English,Email at support@zeroinfy.in,1.5 times on duration for every lecture with unlimited clicks,https://zeroinfy.in/collections/all/products/ca-inter-new-scheme-gst-full-course-by-ca-rajkumar,12 Months From the date of Activation,Hindi-English Mix
CA Inter GST Full Course By CA Vijender Aggarwal in 110 Hours. These Lectures are beneficial for Sep 24 Jan 25 May 25 and Sep 25 attempts. Study Material will be provided with the same.,"Will Be Provided Separately, If Needed",CA Vijender Aggarwal Sir,,CA Inter GST Full Course By CA Vijender Aggarwal,"Google Drive with Hard Copy,Mobile App with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/@CAAshishKalraIGP/videos,,"Rs. 7,500.00",Mail - You Can Ask As Many Queries As You Want And Get Answers Of Each Of Them Thoroughly.,110 Hours (35 Lectures),,//zeroinfy.in/cdn/shop/files/CAInterNewSchemeGSTFullCourseByCAVijenderAggarwal_1024x1024.jpg?v=1691495109,Video Lectures + Study Materials (Total 2 Books {1 Book of GST + 1 Summary-Cum-Chart Booklet}),Google Drive | Mobile App,,,,"Rs. 6,000.00",0.00,Latest,"Windows:,8,8.1 and 10 | RAM-2 GB ( Min) | Anti-Virus-Must be disabled till the installation process,Mobile:,Android 7.0 & Above",0,Laptop / Mobile,English,Email us at support@zeroinfy.in,,https://zeroinfy.in/collections/all/products/ca-inter-new-scheme-gst-full-course-by-ca-vijender-aggarwal,9 months from the date of activation,Hindi-English Mix
"CA Inter Law and Audit Full Course By CA Siddharth Agarwal in approx 250 Hrs. These Lectures are beneficial for Sep 25, Jan 26 and onward attempts. Study Materials will be provided with the same.",If Any Will be Uploaded on Youtube,CA Siddharth Agarwal,,CA Inter Law and Audit Full Course Combo By CA Siddharth Agarwal,"Mobile App with Hard Copy,Google Drive with Hard Copy",https://www.youtube.com/@SiddharthAgarwalClasses/videos,,,Email,Approx 250 Hrs (Approx 90 lectures),,//zeroinfy.in/cdn/shop/files/CAInterNewSchemeLawandAuditFullCourseByCASiddharthAgarwal_1024x1024.jpg?v=1691160811,Video Lecture + Study Materials (Hard Copy Books),Mobile App | Google Drive,"Jan 26 (Law Mar 25 and Audit June 25 Recording),Sep 25 (Law Mar 25 and Audit June 25 Recording),Sep 25 (Nov 2024 Recording)",,,"Rs. 16,000.00",0.00,"Nov - 2024,Law - March 2025 | Audit - June 2025","Laptop,: Operating System: Windows 8, 8.1, Windows 10 & Windows 11 | Processor: Core i3 Processor or above | RAM: 4 GB (Classes runs only on windows laptop (not on Desktop PC)),Mobile,: Andoird Version: 6.0 and above | RAM 3GB | Internal Storage 32 GB (Application will be NOT be installed on Motorola Phones (including MOTO Series) & Apple iPhone)",0,Laptop / Mobile,English,"Call - 76030 93714,Email - support@zeroinfy.in","1.5 times on duration,Each Class max run time = 1.5 X That Class Duration.,Suppose, There is a class of duration 2 hours (120 minutes). You can watch it for 3 Hours (180 mins). You can stop the class in between also and resume later from that point.",https://zeroinfy.in/collections/all/products/ca-inter-new-scheme-law-and-audit-full-course-by-ca-siddharth-agarwal,6/12 Months From the date of Activation (Validity starts from the Date of Activation in Laptop/Mobile with option to extend later on payment of Extension Charges),Hindi-English Mix
